symbol,direction,entry_time,exit_time,entry_price,shares,entry_value,gross_pnl,cost,net_pnl,gross_bps,cost_bps,net_bps,r_multiple,win,exit_reasons,duration_mins,atr_at_entry,candle_size,pullback_depth_pct,pullback_type
LT,SHORT,2024-12-18 11:10:00+05:30,2024-12-18 11:20:00+05:30,3773.1125,8,30184.9,-59.014399999996385,62.270235960352,-121.28463596034838,-19.550967536747308,20.629598229694977,-40.180565766442285,-2.7627479717620593,0,Stop_Loss,10.0,7.121428571428429,3.599999999999909,0.0002139221248323195,zone
MARUTI,LONG,2024-12-18 11:10:00+05:30,2024-12-18 12:30:00+05:30,11034.5145,6,66207.087,-132.14099999999598,136.31268205914,-268.453682059136,-19.958739462437908,20.588835460943933,-40.54757492338184,-2.709272478318519,0,Stop_Loss,80.0,21.482142857142726,11.0,0.00027640478517449585,zone
ASIANPAINT,LONG,2024-12-18 11:15:00+05:30,2024-12-18 12:25:00+05:30,2365.68225,10,23656.8225,-47.63299999999617,48.70616701696,-96.33916701695617,-20.134994883609657,20.588634427535652,-40.7236293111453,-2.68934795217972,0,Stop_Loss,70.0,3.9571428571428635,2.400000000000091,0.0006800995057109529,zone
M&M,SHORT,2024-12-18 11:15:00+05:30,2024-12-18 11:20:00+05:30,3038.8798,18,54699.8364,-127.66364999998859,112.86263939714101,-240.5262893971296,-23.338945489056083,20.63308536643832,-43.9720308554944,-2.3989392900029953,0,Stop_Loss,5.0,8.099999999999909,4.049999999999727,0.0003990122352469237,zone
HEROMOTOCO,LONG,2024-12-18 11:15:00+05:30,2024-12-18 11:50:00+05:30,4409.2035,10,44092.034999999996,-113.03549999998722,90.75181283001,-203.78731282999723,-25.63626287604717,20.582359791288837,-46.21862266733601,-2.238560035481011,0,Stop_Loss,35.0,11.735714285714105,6.899999999999636,0.0008964395356956662,zone
BAJAJ-AUTO,LONG,2024-12-18 11:20:00+05:30,2024-12-18 11:55:00+05:30,8966.0808,3,26898.2424,-58.66889999999512,55.374664731222005,-114.04356473121712,-21.81142512121726,20.58672232473524,-42.398147445952496,-2.5207231431404873,0,Stop_Loss,35.0,21.067857142857065,10.600000000000364,0.0009146942776639567,zone
HDFCBANK,SHORT,2024-12-18 11:25:00+05:30,2024-12-18 11:30:00+05:30,904.5475,10,9045.475,-30.36064999999894,18.672120658176997,-49.032770658175934,-33.56446178890433,20.642498772233626,-54.20696056113795,-1.8986552045760419,0,Stop_Loss,5.0,1.8421428571428546,2.1299999999999955,0.00046030792052247706,zone
ITC,SHORT,2024-12-18 11:30:00+05:30,2024-12-18 11:55:00+05:30,469.415175,28,13143.624899999999,-29.95860000000016,27.118693186871997,-57.077293186872154,-22.793255458773906,20.63258301511024,-43.42583847388414,-2.4417988879992194,0,Stop_Loss,25.0,0.7857142857142857,0.6000000000000227,0.001025063735737659,zone
SBILIFE,SHORT,2024-12-18 11:30:00+05:30,2024-12-18 13:45:00+05:30,1402.79825,11,15430.78075,104.00774999999976,31.709560596175,72.29818940382476,67.40277869608106,20.54955034998796,46.85322834609309,2.0853692942254285,1,Take_Profit,135.0,2.5571428571428703,2.4500000000000455,0.000513985101845259,zone
ADANIENT,SHORT,2024-12-18 11:30:00+05:30,2024-12-18 13:50:00+05:30,2403.3677150000003,12,28840.412580000004,229.7622599999886,59.233190252082025,170.5290697479066,79.66677292242417,20.538260362183077,59.12851256024111,2.2265937375604903,1,Take_Profit,140.0,4.857857142857061,5.179999999999836,0.0014326033627772132,zone
M&M,LONG,2024-12-18 11:35:00+05:30,2024-12-18 11:40:00+05:30,3049.62405,18,54893.232899999995,-130.42799999999352,112.994972355924,-243.42297235591752,-23.760305799003785,20.58449947041177,-44.34480526941556,-2.362575180897808,0,Stop_Loss,5.0,7.332142857142766,4.199999999999818,0.00022040295057167142,zone
SBIN,SHORT,2024-12-18 11:35:00+05:30,2024-12-18 11:55:00+05:30,841.2791500000001,34,28603.491100000003,-59.23309999999742,59.010900522873996,-118.24400052287142,-20.708346331891427,20.63066368946621,-41.339010021357645,-2.632974767203736,0,Stop_Loss,20.0,1.5142857142857014,0.8999999999999773,0.0002513690694009094,zone
SUNPHARMA,SHORT,2024-12-18 11:35:00+05:30,2024-12-18 12:15:00+05:30,1805.446825,11,19859.915075,-49.03442499999869,40.9796026669535,-90.01402766695219,-24.690148379196273,20.634329256794917,-45.324477635991194,-2.3030369808040296,0,Stop_Loss,40.0,2.9250000000000194,2.650000000000091,0.00018513457562068428,zone
ICICIBANK,SHORT,2024-12-18 11:40:00+05:30,2024-12-18 13:00:00+05:30,1313.4929250000002,8,10507.943400000002,-30.122999999995955,21.686283249684,-51.80928324967995,-28.666884520900584,20.637990160552253,-49.30487468145284,-2.0843270298305274,0,Stop_Loss,80.0,2.9464285714285876,2.449999999999818,0.0011351145845777107,zone
HDFCBANK,SHORT,2024-12-18 11:40:00+05:30,2024-12-18 12:00:00+05:30,905.9468,12,10871.3616,-29.24597999999787,22.434538939724398,-51.68051893972227,-26.90185560564729,20.636365310233444,-47.538220915880736,-2.1715963652903114,0,Stop_Loss,20.0,1.731428571428564,1.5299999999999727,0.0013190997998228412,zone
BEL,SHORT,2024-12-18 11:40:00+05:30,2024-12-18 12:00:00+05:30,303.498175,34,10318.93795,-37.53769999999906,21.303538600887997,-58.84123860088706,-36.37748398322238,20.645088384205277,-57.02257236742766,-1.8182172823071459,0,Stop_Loss,20.0,0.596428571428569,0.8000000000000114,0.001015558000074722,zone
ONGC,LONG,2024-12-18 11:45:00+05:30,2024-12-18 11:50:00+05:30,246.32309999999998,59,14533.062899999999,-49.90809999999834,29.898043746265998,-79.80614374626434,-34.34107479160387,20.57243125691419,-54.913506048518066,-1.8706216348693046,0,Stop_Loss,5.0,0.4357142857142792,0.5999999999999943,0.002491186337398155,zone
BPCL,SHORT,2024-12-18 11:45:00+05:30,2024-12-18 12:40:00+05:30,290.95445000000007,64,18621.084800000004,152.74559999998746,38.24042060192002,114.50517939806744,82.02830374307055,20.536086384140205,61.492217358930354,2.2489390083526497,1,Take_Profit,55.0,0.5785714285714343,0.6499999999999773,0.0011606095558383937,zone
INFY,SHORT,2024-12-18 11:45:00+05:30,2024-12-18 11:55:00+05:30,1973.51275,10,19735.127500000002,-38.75449999999773,40.712932015510006,-79.46743201550774,-19.63731929271687,20.62967772339449,-40.26699701611136,-2.7523571570008794,0,Stop_Loss,10.0,3.4892857142857077,1.900000000000091,0.0007724733606738942,zone
M&M,LONG,2024-12-18 11:55:00+05:30,2024-12-18 12:00:00+05:30,3047.072775,18,54847.30995,-100.69694999999865,112.93422844931101,-213.63117844930966,-18.3595057062591,20.590659514981557,-38.95016522124065,-2.914081628064196,0,Stop_Loss,5.0,5.932142857142741,2.550000000000182,0.0005979330358218934,zone
INFY,LONG,2024-12-18 12:00:00+05:30,2024-12-18 12:05:00+05:30,1977.4882499999999,10,19774.8825,-36.75649999999905,40.71727308493,-77.47377308492905,-18.58746821883723,20.590399505498958,-39.17786772433619,-2.881940782476749,0,Stop_Loss,5.0,3.067857142857146,1.7000000000000455,0.00016136308209561582,zone
HINDUNILVR,LONG,2024-12-18 12:00:00+05:30,2024-12-18 12:05:00+05:30,2374.2365250000003,12,28490.838300000003,-64.45859999999811,58.65065608044001,-123.10925608043812,-22.624325518704765,20.585795146799875,-43.21012066550464,-2.4505060099652245,0,Stop_Loss,5.0,4.721428571428597,3.0,0.001249288422008532,zone
BRITANNIA,LONG,2024-12-18 12:00:00+05:30,2024-12-18 12:20:00+05:30,4795.846724999999,3,14387.540174999998,-48.713174999997136,29.5994610339615,-78.31263603395864,-33.85788981819274,20.572982368031166,-54.4308721862239,-1.8852264352271482,0,Stop_Loss,20.0,9.589285714285714,11.449999999999818,0.0012403505867354882,zone
HEROMOTOCO,LONG,2024-12-18 12:00:00+05:30,2024-12-18 12:35:00+05:30,4410.70425,8,35285.634,-103.23399999999674,72.61159073972,-175.84559073971673,-29.256665758080683,20.57823043216965,-49.834896190250326,-2.053455295089806,0,Stop_Loss,35.0,9.34285714285696,8.5,0.0020675391317045233,zone
ONGC,SHORT,2024-12-18 12:05:00+05:30,2024-12-18 12:20:00+05:30,245.877,85,20899.545000000002,69.61499999999901,43.0132199955,26.601780004499012,33.30933759562661,20.580936089996214,12.72840150563039,1.1463813835164571,1,Take_Profit,15.0,0.41071428571427965,0.15000000000000568,0.00015560692711832634,zone
BEL,SHORT,2024-12-18 12:05:00+05:30,2024-12-18 15:15:00+05:30,303.44820000000004,32,9710.342400000001,-24.12239999999838,20.036775940176,-44.15917594017438,-24.841966437762665,20.634469017463275,-45.47643545522594,-1.3774947575669032,0,EOD_Squareoff,190.0,0.5892857142857062,0.8499999999999659,0.00249807337369026,zone
ITC,LONG,2024-12-18 12:10:00+05:30,2024-12-18 12:20:00+05:30,470.23499999999996,27,12696.345,-28.88189999999878,26.136256342697997,-55.01815634269678,-22.748200367900196,20.585653857624376,-43.333854225524576,-2.4403706517053947,0,Stop_Loss,10.0,0.6607142857142857,0.6000000000000227,0.0010075964575846,zone
HINDUNILVR,LONG,2024-12-18 12:10:00+05:30,2024-12-18 12:15:00+05:30,2374.036425,9,21366.327824999997,-66.3331499999972,43.963761995549994,-110.29691199554719,-31.045648341304158,20.576189954414872,-51.62183829571903,-1.9809845660377263,0,Stop_Loss,5.0,4.578571428571455,5.0,0.0018857606658528971,zone
HDFCBANK,SHORT,2024-12-18 12:15:00+05:30,2024-12-18 13:05:00+05:30,906.6264600000001,13,11786.14398,-25.058669999998642,24.3161970362454,-49.37486703624404,-21.261126660696572,20.631172567981302,-41.89229922867788,-2.5775117710383197,0,Stop_Loss,50.0,1.4071428571428524,1.0199999999999818,0.0009519837375055062,zone
BAJAJ-AUTO,SHORT,2024-12-18 12:15:00+05:30,2024-12-18 12:35:00+05:30,8946.574475,3,26839.723424999996,123.97972500000833,55.20683107943249,68.77289392057584,46.19262390927873,20.569075994281597,25.623547914997133,1.6641324358616996,1,Take_Profit,20.0,15.664285714285922,9.300000000001091,4.52506356440836e-05,zone
M&M,LONG,2024-12-18 12:15:00+05:30,2024-12-18 12:25:00+05:30,3048.5235,17,51824.8995,-129.95989999998937,106.671180190678,-236.63108019066738,-25.07672976770353,20.58299798356155,-45.65972775126508,-2.2731240802374573,0,Stop_Loss,10.0,4.6035714285713185,4.599999999999909,0.0008778767188887299,zone
SBIN,SHORT,2024-12-18 12:15:00+05:30,2024-12-18 13:00:00+05:30,840.5795,33,27739.1235,-67.3727999999968,57.236793845484,-124.6095938454808,-24.288006072000364,20.633959052629763,-44.92196512463013,-2.3301748215661338,0,Stop_Loss,45.0,1.5678571428571462,1.2000000000000455,0.000378590113811047,zone
LT,SHORT,2024-12-18 12:15:00+05:30,2024-12-18 15:15:00+05:30,3761.1185,7,26327.8295,2.7235250000035194,54.263361829575494,-51.539836829571975,1.0344662099864783,20.61064769109641,-19.57618148110993,-0.8384483098327112,0,EOD_Squareoff,180.0,6.407142857142811,6.900000000000091,0.0001797306648728149,zone
RELIANCE,SHORT,2024-12-18 12:20:00+05:30,2024-12-18 13:05:00+05:30,1249.375,9,11244.375,-36.01237499999843,23.2096082471775,-59.22198324717593,-32.02701350675198,20.64108342809405,-52.66809693484602,-1.949694921717726,0,Stop_Loss,45.0,1.9357142857143117,2.75,6.698244621389238e-05,zone
JSWSTEEL,SHORT,2024-12-18 12:20:00+05:30,2024-12-18 12:30:00+05:30,946.076725,18,17029.38105,-86.37254999999891,35.179791887097004,-121.5523418870959,-50.71972360381173,20.6582915631552,-71.37801516696692,-1.5619889742420945,0,Stop_Loss,10.0,3.2821428571428686,3.8500000000000227,0.0013675525710798954,zone
INFY,SHORT,2024-12-18 12:20:00+05:30,2024-12-18 13:05:00+05:30,1971.4138000000003,10,19714.138000000003,-45.236749999996846,40.675636727394995,-85.91238672739183,-22.946349467573395,20.632723950392858,-43.57907341796624,-2.429511530100027,0,Stop_Loss,45.0,2.6357142857142923,2.5499999999999545,6.320407313664398e-05,zone
HINDUNILVR,SHORT,2024-12-18 12:20:00+05:30,2024-12-18 15:15:00+05:30,2366.3162500000003,10,23663.162500000002,94.88425000000461,48.686215475635,46.19803452436961,40.09787364643446,20.574686699478566,19.52318694695589,0.820022800521387,1,EOD_Squareoff,175.0,4.525000000000058,4.449999999999818,0.0003368260301245533,zone
SUNPHARMA,SHORT,2024-12-18 12:20:00+05:30,2024-12-18 15:15:00+05:30,1804.147475,8,14433.1798,19.976800000000367,29.730702634024,-9.753902634023632,13.840886261252262,20.598858356925618,-6.757972095673354,-0.25125843334201275,0,EOD_Squareoff,175.0,2.6500000000000097,3.9500000000000455,0.0016961244614073165,zone
TCS,LONG,2024-12-18 12:25:00+05:30,2024-12-18 15:15:00+05:30,4329.66375,2,8659.3275,26.22755000000143,17.878174088879,8.34937591112243,30.28820656107698,20.646146122639433,9.642060438437547,0.37733028634608173,1,EOD_Squareoff,170.0,7.282142857142779,8.899999999999636,0.0020761695592603708,zone
