feature,decile,bps,t,hit_pct,name_days
low_prox,1,9.371849447365694,4.0073705314738115,52.531218359770506,11852
low_prox,2,10.947284444149432,4.902922190064352,52.553155585555174,13665
low_prox,3,9.153017974761642,3.991832980589696,51.493418832264595,13504
low_prox,4,8.790695621687904,3.882406069850815,51.461356733040844,13363
low_prox,5,10.932509500975243,4.858892261233438,51.47823152210598,14019
low_prox,6,8.862159825546655,3.616223320398633,50.77117786027674,12782
low_prox,7,10.751671292201008,4.531326103967987,51.31454606817414,13126
low_prox,8,7.557459639616735,3.1700744265648475,50.68849139385758,13741
low_prox,9,4.578226461148864,1.8330824997529915,49.56125548430644,13428
low_prox,10,4.876646236704903,1.7379881674548807,48.71076611542355,14807
clv,1,10.697616744716951,4.341725677549357,52.95871301608729,11851
clv,2,12.5865071973235,5.255567254221121,52.65777927775903,13665
clv,3,8.075683260641446,3.4217678539909167,51.38879514006075,13505
clv,4,12.397293704325257,5.33232897605459,52.3337833277084,13362
clv,5,11.823459081367728,4.92924093358029,51.9372257846777,14022
clv,6,6.85020443921314,2.8831175152435864,50.3043086961413,12781
clv,7,9.804911068066147,4.056379998622511,51.533355833052084,13124
clv,8,7.13476065929752,3.042224651893759,50.13837327033413,13741
clv,9,4.398463094748693,1.878788968433689,49.271009112386096,13428
clv,10,2.500394615172905,1.0922929957227703,48.11677354033074,14807
vol_ratio,1,8.508699275186844,3.7737504663700507,50.73405332433345,11852
vol_ratio,2,8.54900769584376,3.8059321241519095,51.15423557205534,13665
vol_ratio,3,6.249068578457973,2.7044144587185626,50.901113736078294,13504
vol_ratio,4,10.681541013787719,4.517028550550843,51.21835977050287,13363
vol_ratio,5,7.618266519531719,3.355797933892263,50.8032399595005,14019
vol_ratio,6,9.442766306253468,4.029172520943046,51.01586230172123,12782
vol_ratio,7,7.969786426873687,3.3547278560305687,51.00404994937563,13126
vol_ratio,8,6.574896623335531,2.7073655374726022,51.047924400944986,13741
vol_ratio,9,7.73810169949651,3.202525911197088,51.30104623692204,13428
vol_ratio,10,11.971053728769606,4.566671561777482,50.86398920013501,14807
turnover,1,12.015216258867548,5.305823326388988,50.97030037124536,11852
turnover,2,11.02522592374131,4.913410464551603,51.34323320958488,13665
turnover,3,10.31825623322226,4.500332664959784,50.92473844076949,13504
turnover,4,8.727105970375804,3.719346111597311,51.059736753290586,13363
turnover,5,8.782011675511804,3.9386495314985774,51.08842389470132,14019
turnover,6,8.664268809448492,3.75634021709237,51.51198110023625,12782
turnover,7,7.908201908175098,3.3781001154941768,51.280796490043876,13126
turnover,8,8.021067685381826,3.441322259009303,51.02261221734727,13741
turnover,9,5.420831743187387,2.108767039553377,50.22780965237934,13428
turnover,10,5.93982189238657,2.167660420526313,50.83867701653729,14807
atr_pct,1,7.687247126867753,4.283297872422715,51.21498481268985,11852
atr_pct,2,6.131664908573834,3.3872651439769292,50.50118123523456,13665
atr_pct,3,7.034871648092736,3.6240279183969446,51.235234559568,13504
atr_pct,4,8.1482229088483,3.9249423217973116,51.23354708066149,13363
atr_pct,5,4.864272130060355,2.2431726421982154,50.585555180560235,14019
atr_pct,6,8.299142052826204,3.617774480785252,51.044549443131956,12782
atr_pct,7,7.640890361271349,3.1402281743376954,50.38474519068512,13126
atr_pct,8,9.457799180013179,3.6993451236311325,50.863989200134995,13741
atr_pct,9,12.076162983166148,4.131402318232289,51.57610529868377,13428
atr_pct,10,13.644301343863305,3.876546785047646,51.457981775227815,14807
tr_ratio,1,8.495150077827224,3.571169258800524,51.417482281471486,11852
tr_ratio,2,8.011157624264804,3.504597328117725,51.1862976712791,13665
tr_ratio,3,11.952834853568934,5.088475126388814,51.24873439082012,13504
tr_ratio,4,10.507012298412349,4.608905037443367,51.29429632129599,13363
tr_ratio,5,11.110757238165865,4.715053856656616,51.753290583867695,14019
tr_ratio,6,9.453660800478891,4.028579571420522,51.44954438069524,12782
tr_ratio,7,9.240338642683355,3.9710837166157926,51.03611204859939,13126
tr_ratio,8,6.499644308206211,2.6741437485978388,50.41680728990888,13741
tr_ratio,9,7.255913597842464,2.9445487693735837,50.75092811339859,13428
tr_ratio,10,4.13755992693782,1.6324883300098423,49.927438407019906,14807
gap_today,1,5.331155816602397,1.9990336610979706,50.576555293058846,11848
gap_today,2,8.14871222170933,3.5620393159771724,50.79821770085017,13670
gap_today,3,7.944126155880053,3.5009306608612127,50.95290326728059,13487
gap_today,4,9.349252122829887,4.034167791691861,51.79588276904279,13385
gap_today,5,9.251569665369006,4.163623939462325,50.993925075936545,13991
gap_today,6,10.23825456369086,4.410009304776153,51.81992101978597,12802
gap_today,7,8.28407897284685,3.5724754208210894,50.7370341789653,13128
gap_today,8,10.205178564604543,4.303238363573375,51.46931199074297,13743
gap_today,9,8.247323500667674,3.336030560429477,50.8536232582807,13426
gap_today,10,9.130714594778748,3.467497857841421,50.430869614129826,14807
